checking account status,Duration in month,Credit history,Purpose,Credit amount,Savings account/bonds,employment,Installment,status n sex,Other debtors / guarantors,residence,Property,Age in years,Other installment plans,Housing,existing credits no.,Job,liability responsibles,Telephone,foreign worker
0,0.7547634097761486,1,1,0.34655417098563873,3,4,0.9184771676276685,2,2,-0.7659772668958666,0,-0.6636892170890771,1,1,1.0270789116578085,0,-0.4282895663715403,0,1
3,1.2525737273156552,3,7,0.1998146151641087,4,2,-0.8701833340815202,0,2,1.0469866784197936,1,0.8315024991200816,1,1,-0.7049259983890862,3,-0.4282895663715403,1,1
0,-0.738667542842371,4,9,-0.6597105608436457,3,0,-0.8701833340815202,3,2,-0.7659772668958666,1,-0.3998318554051079,1,1,-0.7049259983890862,3,-0.4282895663715403,1,1
2,-0.2408572253028645,3,5,0.13424259142743467,3,3,-1.7645135849361147,0,2,1.0469866784197936,0,-1.1914039404570154,1,2,-0.7049259983890862,1,-0.4282895663715403,0,1
0,-0.4897623840726178,3,8,-0.6228484502024884,0,0,0.9184771676276685,3,1,-0.7659772668958666,1,-1.1914039404570154,1,1,-0.7049259983890862,1,-0.4282895663715403,0,1
2,0.008047933466888799,3,7,-0.2357962884703367,3,3,0.9184771676276685,0,2,1.0469866784197936,2,-0.6636892170890771,1,2,-0.7049259983890862,0,-0.4282895663715403,1,1
2,0.2569530922366421,3,5,-0.540263144631434,3,3,0.9184771676276685,3,0,-1.6724592395536968,2,-1.0154990326677027,1,1,-0.7049259983890862,3,-0.4282895663715403,0,0
1,-0.738667542842371,3,5,-0.36162368537044093,3,0,-1.7645135849361147,0,2,-0.7659772668958666,0,0.919454953014738,1,1,-0.7049259983890862,3,-0.4282895663715403,0,1
3,-0.2408572253028645,3,1,-0.514388778508314,3,0,-0.8701833340815202,2,2,-0.7659772668958666,2,-0.4877843092997643,1,1,-0.7049259983890862,0,-0.4282895663715403,1,1
0,-0.9046043153555399,0,7,-0.788019061344597,3,0,0.9184771676276685,3,2,1.0469866784197936,1,-1.103451486562359,2,1,-0.7049259983890862,3,-0.4282895663715403,0,1
2,2.2481943623946683,3,7,1.3212734427470096,3,1,-1.7645135849361147,2,1,-1.6724592395536968,1,-0.13597449372113873,1,1,1.0270789116578085,1,-0.4282895663715403,1,1
0,2.2481943623946683,2,6,1.5279139283604204,0,4,-0.8701833340815202,3,2,1.0469866784197936,3,-0.3998318554051079,1,0,-0.7049259983890862,0,-0.4282895663715403,1,1
2,0.2569530922366421,3,1,-0.3431926300498623,3,2,0.9184771676276685,3,0,-1.6724592395536968,1,0.8315024991200816,1,1,-0.7049259983890862,1,-0.4282895663715403,0,1
2,0.008047933466888799,3,1,0.17429469241253828,4,1,-0.8701833340815202,3,0,-0.7659772668958666,1,-1.0154990326677027,1,1,-0.7049259983890862,3,-0.4282895663715403,0,0
3,0.2569530922366421,3,7,-0.7064970858881915,3,2,0.9184771676276685,3,2,-1.6724592395536968,1,0.03993041406817406,1,1,-0.7049259983890862,0,-0.4282895663715403,1,1
3,-0.9046043153555399,3,7,-0.4775266678671567,3,0,-1.7645135849361147,3,2,1.0469866784197936,2,0.21583532185748686,1,1,-0.7049259983890862,1,-0.4282895663715403,1,0
1,-0.4897623840726178,3,7,-0.33468598913267217,3,3,-0.8701833340815202,0,2,0.1405047057619635,1,-0.9275465787730462,1,1,-0.7049259983890862,3,-0.4282895663715403,0,1
2,-0.2408572253028645,3,7,0.08426607603894255,3,1,0.9184771676276685,0,1,-1.6724592395536968,1,-0.9275465787730462,1,1,-0.7049259983890862,1,-0.4282895663715403,0,1
2,0.7547634097761486,3,5,-0.3066849627802546,3,1,0.9184771676276685,0,2,1.0469866784197936,1,-1.103451486562359,1,2,-0.7049259983890862,1,-0.4282895663715403,0,1
0,-0.738667542842371,3,7,-0.12095663608826972,3,1,-0.8701833340815202,0,2,-1.6724592395536968,1,-0.7516416709837335,1,1,-0.7049259983890862,1,-0.4282895663715403,0,1
2,0.2569530922366421,3,2,-0.16278095393112127,4,2,-0.8701833340815202,0,2,1.0469866784197936,1,-0.8395941248783899,1,2,-0.7049259983890862,1,-0.4282895663715403,0,1
3,-0.9875727016121243,3,0,-0.6458872693532116,3,1,0.024146916773074168,0,2,-0.7659772668958666,0,-0.7516416709837335,1,1,1.0270789116578085,1,-0.4282895663715403,0,1
3,0.2569530922366421,3,5,-0.8301978225589982,4,1,0.9184771676276685,3,2,-0.7659772668958666,0,-0.3998318554051079,2,1,-0.7049259983890862,1,-0.4282895663715403,1,1
0,0.2569530922366421,2,5,-0.3325593289033746,4,3,0.9184771676276685,3,2,-0.7659772668958666,2,-0.5757367631944207,0,1,-0.7049259983890862,3,-0.4282895663715403,0,1
3,-0.9046043153555399,3,1,-0.5934296503638724,1,0,0.024146916773074168,3,2,-0.7659772668958666,3,0.3917402296467996,1,2,-0.7049259983890862,3,2.3348689263480744,0,0
3,-1.2364778603818776,3,7,-0.4123090875020322,3,1,-0.8701833340815202,2,2,-0.7659772668958666,1,-0.5757367631944207,1,2,-0.7049259983890862,1,-0.4282895663715403,0,1
3,-0.9875727016121243,3,3,-0.7213837074932742,3,3,-1.7645135849361147,0,2,1.0469866784197936,1,-1.103451486562359,1,2,-0.7049259983890862,1,-0.4282895663715403,1,1
3,-0.738667542842371,3,1,-0.312356056725048,4,2,0.9184771676276685,3,2,0.1405047057619635,0,1.2712647685933636,1,1,-0.7049259983890862,1,-0.4282895663715403,1,1
2,-0.738667542842371,3,1,-0.7242192544656709,3,0,0.9184771676276685,0,2,-0.7659772668958666,1,-1.0154990326677027,1,1,-0.7049259983890862,3,-0.4282895663715403,0,1
2,-0.738667542842371,3,5,0.1129759891344593,3,0,-0.8701833340815202,3,0,-0.7659772668958666,2,-0.5757367631944207,1,1,-0.7049259983890862,3,2.3348689263480744,0,1
3,0.2569530922366421,1,1,-0.4427912174552969,3,0,0.9184771676276685,0,2,1.0469866784197936,0,0.12788286796283044,1,1,-0.7049259983890862,1,-0.4282895663715403,1,1
2,-0.738667542842371,1,1,-0.9145553449878004,3,2,0.9184771676276685,3,2,0.1405047057619635,2,-0.048022039826482336,1,1,1.0270789116578085,1,-0.4282895663715403,0,1
0,-0.2408572253028645,3,7,-0.8525277549666223,3,0,0.9184771676276685,2,1,-0.7659772668958666,1,-0.9275465787730462,1,1,-0.7049259983890862,3,-0.4282895663715403,0,1
0,-0.4897623840726178,4,1,-0.5292754001133967,3,3,-0.8701833340815202,0,2,-1.6724592395536968,1,-0.8395941248783899,1,2,1.0270789116578085,2,-0.4282895663715403,0,1
3,0.7547634097761486,3,2,0.545751345796508,4,1,-0.8701833340815202,0,2,1.0469866784197936,2,-1.0154990326677027,2,2,-0.7049259983890862,3,-0.4282895663715403,0,1
3,-0.738667542842371,1,7,-0.4739822341516608,3,2,-0.8701833340815202,3,2,-0.7659772668958666,3,-0.8395941248783899,1,1,1.0270789116578085,1,-0.4282895663715403,0,1
0,-0.738667542842371,3,7,-0.7724235529964151,3,0,0.9184771676276685,0,1,1.0469866784197936,1,1.1833123146987072,1,1,1.0270789116578085,1,-0.4282895663715403,1,1
2,-0.2408572253028645,3,7,-0.49241328947223945,3,0,0.9184771676276685,0,2,1.0469866784197936,0,-0.9275465787730462,0,2,1.0270789116578085,1,-0.4282895663715403,0,1
0,0.2569530922366421,3,2,-0.18121200925169992,4,2,0.9184771676276685,3,2,1.0469866784197936,3,0.03993041406817406,0,0,-0.7049259983890862,1,-0.4282895663715403,1,1
0,1.2525737273156552,3,8,-0.31448271695434554,3,3,0.9184771676276685,3,2,-1.6724592395536968,3,-0.22392694761579512,1,2,-0.7049259983890862,3,-0.4282895663715403,0,1
0,-0.738667542842371,3,0,-0.861388839255362,0,1,-0.8701833340815202,0,2,1.0469866784197936,1,-1.103451486562359,1,2,-0.7049259983890862,3,-0.4282895663715403,0,1
0,1.2525737273156552,4,7,0.18882687064607143,3,0,0.9184771676276685,0,2,-1.6724592395536968,0,0.5676451374361124,1,1,-0.7049259983890862,1,-0.4282895663715403,1,1
0,0.2569530922366421,2,1,-0.4629944896336235,4,0,0.9184771676276685,0,2,1.0469866784197936,0,0.5676451374361124,1,2,1.0270789116578085,1,-0.4282895663715403,1,1
2,-0.738667542842371,1,1,-0.40770132367188755,3,0,0.9184771676276685,3,2,-0.7659772668958666,2,-0.4877843092997643,1,1,1.0270789116578085,1,-0.4282895663715403,0,1
3,-1.2364778603818776,3,1,0.08745606638288886,3,0,-0.8701833340815202,3,1,0.1405047057619635,2,-0.8395941248783899,1,2,-0.7049259983890862,1,-0.4282895663715403,0,1
3,0.2569530922366421,1,0,0.444734984904875,3,0,0.024146916773074168,3,2,-0.7659772668958666,1,3.382123662065117,1,1,-0.7049259983890862,0,-0.4282895663715403,1,1
2,-0.738667542842371,3,5,-0.5009199303894296,3,3,0.9184771676276685,0,2,-1.6724592395536968,0,-1.1914039404570154,1,2,-0.7049259983890862,1,-0.4282895663715403,0,1
2,-1.0705410878687087,1,6,-0.7469036302448446,3,2,0.024146916773074168,3,2,1.0469866784197936,3,1.35921722248802,0,0,1.0270789116578085,0,2.3348689263480744,1,1
3,-0.738667542842371,2,8,-0.6083162719689552,2,2,0.9184771676276685,3,2,1.0469866784197936,3,1.7110270380666455,1,0,1.0270789116578085,1,2.3348689263480744,0,1
1,-0.4897623840726178,3,0,-0.20708637537481994,3,1,-0.8701833340815202,3,2,1.0469866784197936,2,-0.8395941248783899,1,2,-0.7049259983890862,1,-0.4282895663715403,1,1
1,1.2525737273156552,3,7,0.22746119814497667,3,0,-0.8701833340815202,3,2,-0.7659772668958666,1,-1.103451486562359,1,1,-0.7049259983890862,1,-0.4282895663715403,1,1
0,0.2569530922366421,1,6,3.071869254830432,3,0,-0.8701833340815202,3,0,0.1405047057619635,0,0.3037877757521432,1,1,1.0270789116578085,0,2.3348689263480744,1,1
0,-0.738667542842371,3,1,-0.8447300007925314,3,2,0.9184771676276685,3,2,1.0469866784197936,0,0.479692683541456,0,1,-0.7049259983890862,3,2.3348689263480744,0,1
3,0.2569530922366421,1,7,-0.6221395634593891,2,0,0.9184771676276685,0,2,-1.6724592395536968,1,0.6555975913307688,1,1,1.0270789116578085,3,-0.4282895663715403,0,1
2,0.2569530922366421,3,0,1.1685083496091366,3,0,-0.8701833340815202,2,2,-0.7659772668958666,0,-1.279356394351672,2,1,-0.7049259983890862,3,-0.4282895663715403,0,1
0,0.7547634097761486,1,5,1.8128863990862902,3,1,-0.8701833340815202,3,2,-0.7659772668958666,2,1.1833123146987072,1,1,-0.7049259983890862,1,-0.4282895663715403,0,1
2,-0.738667542842371,3,1,-0.7079148593743898,3,3,0.024146916773074168,0,2,-1.6724592395536968,1,0.12788286796283044,1,1,-0.7049259983890862,3,-0.4282895663715403,0,1
0,-0.07492045278969563,2,2,1.3418311582968858,4,1,0.024146916773074168,3,2,1.0469866784197936,2,0.03993041406817406,0,2,1.0270789116578085,0,2.3348689263480744,1,1
3,-0.2408572253028645,3,5,-0.6161140261430461,3,3,0.9184771676276685,2,0,-1.6724592395536968,2,0.6555975913307688,1,1,-0.7049259983890862,3,2.3348689263480744,0,1
0,-0.2408572253028645,3,0,-0.47150113055081366,2,0,0.9184771676276685,3,2,-0.7659772668958666,2,-0.048022039826482336,1,1,-0.7049259983890862,3,-0.4282895663715403,1,1
2,-1.2364778603818776,1,5,-0.49595772318773534,3,4,0.9184771676276685,3,2,1.0469866784197936,3,0.03993041406817406,1,0,2.7590838217047033,0,-0.4282895663715403,1,1
3,-0.738667542842371,3,4,-0.6657360981599887,3,2,0.9184771676276685,3,2,1.0469866784197936,2,1.0074074069093943,0,1,2.7590838217047033,1,2.3348689263480744,1,1
0,0.2569530922366421,4,0,0.343718624013242,3,0,-1.7645135849361147,3,2,1.0469866784197936,1,0.03993041406817406,1,1,2.7590838217047033,3,-0.4282895663715403,1,1
0,0.2569530922366421,3,2,2.937889660384687,3,0,-1.7645135849361147,0,2,1.0469866784197936,0,-1.103451486562359,1,2,1.0270789116578085,0,-0.4282895663715403,0,1
2,1.7503840448551617,2,7,0.38944181894313906,3,1,0.024146916773074168,3,2,-0.7659772668958666,2,-0.8395941248783899,0,1,1.0270789116578085,1,2.3348689263480744,1,1
1,1.7503840448551617,4,0,1.0696186489468011,3,3,-0.8701833340815202,1,2,-1.6724592395536968,2,-0.22392694761579512,1,1,1.0270789116578085,1,-0.4282895663715403,0,1
0,1.2525737273156552,3,7,-0.2127574693196134,0,0,0.9184771676276685,0,0,1.0469866784197936,3,1.2712647685933636,1,0,-0.7049259983890862,1,-0.4282895663715403,0,1
0,-1.1535094741252931,3,7,-0.24642958961682437,3,0,-0.8701833340815202,3,1,-0.7659772668958666,1,-0.048022039826482336,1,1,-0.7049259983890862,1,-0.4282895663715403,0,1
0,1.2525737273156552,4,0,-0.4672478100922186,3,2,0.9184771676276685,3,2,1.0469866784197936,3,2.238741761434584,1,0,-0.7049259983890862,0,-0.4282895663715403,1,1
3,1.2525737273156552,3,5,0.027555136591008247,3,0,0.9184771676276685,0,2,-0.7659772668958666,0,-0.6636892170890771,1,1,-0.7049259983890862,0,-0.4282895663715403,1,1
2,-0.4897623840726178,1,5,-0.6515583632980051,3,0,0.9184771676276685,0,2,0.1405047057619635,2,-0.9275465787730462,1,2,1.0270789116578085,1,-0.4282895663715403,0,1
2,-0.5727307703292022,3,1,0.24872780043795206,3,4,-1.7645135849361147,3,2,1.0469866784197936,3,-1.1914039404570154,1,0,-0.7049259983890862,1,-0.4282895663715403,0,1
2,0.7547634097761486,3,7,-0.2655695316805022,3,2,-1.7645135849361147,3,1,0.1405047057619635,2,0.3037877757521432,1,1,-0.7049259983890862,1,2.3348689263480744,0,1
0,-0.738667542842371,2,7,-0.952126342372057,3,0,0.9184771676276685,2,0,1.0469866784197936,1,-1.3673088482463283,1,2,1.0270789116578085,1,-0.4282895663715403,0,1
3,0.7547634097761486,3,7,-0.49772994004548327,4,2,0.9184771676276685,3,2,1.0469866784197936,0,1.9748843997506147,1,1,-0.7049259983890862,1,-0.4282895663715403,1,1
3,-0.4897623840726178,1,7,-0.6380895151791207,3,0,0.9184771676276685,3,2,1.0469866784197936,3,-0.048022039826482336,1,0,1.0270789116578085,1,-0.4282895663715403,1,1
2,0.7547634097761486,4,5,0.4649382570832016,3,0,-0.8701833340815202,1,1,-0.7659772668958666,1,-0.3118794015104515,1,1,1.0270789116578085,1,-0.4282895663715403,0,1
2,0.2569530922366421,3,7,-0.29498833151911813,3,3,0.9184771676276685,0,2,1.0469866784197936,1,-0.048022039826482336,1,1,-0.7049259983890862,1,-0.4282895663715403,1,1
0,1.999289203624915,1,2,0.4624571534823545,0,4,0.024146916773074168,3,2,1.0469866784197936,0,-0.7516416709837335,1,1,-0.7049259983890862,1,-0.4282895663715403,0,1
3,-0.738667542842371,0,9,0.06229058700286801,1,0,0.9184771676276685,0,2,0.1405047057619635,1,-0.048022039826482336,1,1,-0.7049259983890862,3,2.3348689263480744,0,1
2,-1.2364778603818776,1,7,-0.7451314133870967,4,2,0.9184771676276685,3,2,1.0469866784197936,1,2.7664564848025224,1,1,1.0270789116578085,1,-0.4282895663715403,1,1
0,0.7547634097761486,3,5,0.19875128504945994,3,3,-0.8701833340815202,2,2,-1.6724592395536968,2,-1.1914039404570154,1,1,-0.7049259983890862,1,-0.4282895663715403,0,1
2,0.2569530922366421,3,1,-0.7316625652682123,3,3,0.9184771676276685,0,2,1.0469866784197936,2,-1.0154990326677027,1,2,-0.7049259983890862,1,-0.4282895663715403,0,1
0,0.5058582510063954,2,2,0.9547789965647342,3,2,-1.7645135849361147,3,2,-0.7659772668958666,0,-0.4877843092997643,1,1,1.0270789116578085,0,-0.4282895663715403,1,1
1,0.7547634097761486,2,0,-0.4831977618119501,3,2,0.9184771676276685,3,2,1.0469866784197936,1,2.678504030907866,1,1,-0.7049259983890862,0,-0.4282895663715403,1,1
0,1.2525737273156552,1,2,0.896295840259052,3,0,0.024146916773074168,3,2,1.0469866784197936,0,-0.13597449372113873,1,1,1.0270789116578085,1,-0.4282895663715403,1,1
3,-1.2364778603818776,3,5,-0.6125695924275503,2,0,0.9184771676276685,1,2,-0.7659772668958666,1,-0.22392694761579512,1,1,-0.7049259983890862,1,-0.4282895663715403,0,1
2,0.2569530922366421,0,1,-0.7366247724699065,3,4,-1.7645135849361147,0,0,1.0469866784197936,3,-0.5757367631944207,1,2,1.0270789116578085,2,-0.4282895663715403,0,1
3,0.2569530922366421,2,0,0.2097390295674972,3,0,-1.7645135849361147,3,2,-0.7659772668958666,3,-0.3118794015104515,1,0,-0.7049259983890862,1,-0.4282895663715403,0,1
3,-1.4024146328950464,3,5,-0.9464552484272635,3,3,-1.7645135849361147,0,2,0.1405047057619635,1,-1.103451486562359,1,2,-0.7049259983890862,3,2.3348689263480744,0,1
2,-0.738667542842371,3,3,-0.896833176410321,0,4,0.9184771676276685,0,2,0.1405047057619635,2,-1.1914039404570154,1,1,-0.7049259983890862,1,-0.4282895663715403,0,1
3,0.2569530922366421,3,7,-0.34992705410930447,3,1,0.9184771676276685,3,2,-0.7659772668958666,0,-0.6636892170890771,1,1,-0.7049259983890862,1,-0.4282895663715403,1,1
2,-1.2364778603818776,3,5,-1.0077739517053426,3,2,-0.8701833340815202,0,2,-1.6724592395536968,2,1.1833123146987072,0,1,-0.7049259983890862,1,-0.4282895663715403,1,1
2,-0.07492045278969563,1,1,-0.36729477931523435,3,0,0.9184771676276685,2,1,-0.7659772668958666,2,-0.22392694761579512,0,2,1.0270789116578085,1,-0.4282895663715403,0,0
2,-0.8216359290989554,1,1,0.236676725805266,3,0,-1.7645135849361147,3,2,-0.7659772668958666,1,0.3917402296467996,1,1,1.0270789116578085,3,2.3348689263480744,0,1
3,-0.738667542842371,1,0,-0.7114592930898858,4,2,0.9184771676276685,3,2,1.0469866784197936,3,1.8869319458559584,1,2,-0.7049259983890862,3,-0.4282895663715403,0,1
0,0.2569530922366421,1,7,-0.728472574924266,0,3,0.9184771676276685,3,2,1.0469866784197936,3,0.21583532185748686,0,1,1.0270789116578085,1,2.3348689263480744,0,1
0,-0.2408572253028645,1,7,-0.7181937171493279,3,0,0.9184771676276685,2,2,-0.7659772668958666,0,-0.22392694761579512,1,1,-0.7049259983890862,1,-0.4282895663715403,0,1
3,2.2481943623946683,2,7,1.4059854085473615,4,2,0.024146916773074168,3,2,0.1405047057619635,0,-0.3118794015104515,0,1,1.0270789116578085,1,2.3348689263480744,0,1
0,-0.738667542842371,3,5,-0.09012006276345544,3,3,0.024146916773074168,0,2,-1.6724592395536968,1,-0.13597449372113873,1,2,-0.7049259983890862,0,-0.4282895663715403,0,1
0,-0.738667542842371,3,5,-0.18050312250860073,4,2,-1.7645135849361147,0,2,-0.7659772668958666,2,-0.9275465787730462,0,1,-0.7049259983890862,1,-0.4282895663715403,1,1
3,0.2569530922366421,3,7,-0.6161140261430461,3,3,0.9184771676276685,0,2,0.1405047057619635,0,0.21583532185748686,2,1,-0.7049259983890862,1,-0.4282895663715403,1,1
0,1.2525737273156552,2,0,2.3342725986357364,0,1,-1.7645135849361147,3,2,0.1405047057619635,2,-0.3998318554051079,1,1,1.0270789116578085,3,2.3348689263480744,1,1
3,-0.9046043153555399,3,5,-0.3761558636039741,3,0,-0.8701833340815202,3,2,-0.7659772668958666,1,-0.9275465787730462,0,2,-0.7049259983890862,3,-0.4282895663715403,0,1
0,-0.2408572253028645,1,0,0.1129759891344593,3,4,0.024146916773074168,2,2,0.1405047057619635,0,0.3917402296467996,1,1,2.7590838217047033,2,2.3348689263480744,1,1
1,-0.2408572253028645,3,1,-0.46441226311982187,3,2,0.024146916773074168,0,2,-0.7659772668958666,0,-1.103451486562359,1,1,-0.7049259983890862,0,-0.4282895663715403,0,1
0,1.2525737273156552,3,1,3.9154444791184546,3,2,0.9184771676276685,3,2,-0.7659772668958666,3,1.8869319458559584,1,0,-0.7049259983890862,0,-0.4282895663715403,1,1
0,-0.8216359290989554,2,7,0.5315736109345244,3,1,-0.8701833340815202,3,2,1.0469866784197936,2,1.35921722248802,1,1,-0.7049259983890862,1,-0.4282895663715403,0,1
3,-1.2364778603818776,3,7,-0.9758740482658794,3,0,0.024146916773074168,0,2,-1.6724592395536968,1,-0.5757367631944207,1,1,-0.7049259983890862,1,-0.4282895663715403,0,1
0,-0.738667542842371,3,7,-0.6040629515103602,3,0,-1.7645135849361147,0,2,-1.6724592395536968,0,-1.1914039404570154,1,1,-0.7049259983890862,1,-0.4282895663715403,1,1
0,2.2481943623946683,3,7,0.2508544606672496,4,1,0.9184771676276685,3,2,-1.6724592395536968,0,0.479692683541456,1,1,1.0270789116578085,1,2.3348689263480744,1,1
2,0.5058582510063954,4,0,0.7165930508834101,3,4,-0.8701833340815202,3,2,1.0469866784197936,2,1.2712647685933636,2,1,1.0270789116578085,1,-0.4282895663715403,1,1
2,0.2569530922366421,3,2,-0.1280455035192615,3,1,-0.8701833340815202,3,2,-1.6724592395536968,3,-0.13597449372113873,1,0,-0.7049259983890862,0,-0.4282895663715403,1,1
2,2.2481943623946683,3,4,1.4903429309761638,3,1,0.9184771676276685,3,2,-1.6724592395536968,3,1.2712647685933636,1,0,-0.7049259983890862,0,-0.4282895663715403,1,1
0,1.2525737273156552,3,2,2.1715830910944747,3,3,-1.7645135849361147,2,2,1.0469866784197936,0,-0.6636892170890771,1,2,-0.7049259983890862,0,-0.4282895663715403,1,1
1,-0.2408572253028645,3,7,-0.41514463447442895,3,0,0.9184771676276685,3,0,-0.7659772668958666,1,0.12788286796283044,2,1,-0.7049259983890862,1,-0.4282895663715403,0,1
3,-0.8216359290989554,3,0,-0.4002580128693462,2,2,-1.7645135849361147,1,2,-0.7659772668958666,1,-0.6636892170890771,1,1,-0.7049259983890862,1,-0.4282895663715403,1,1
2,1.2525737273156552,1,5,-0.32724267833013077,3,0,0.024146916773074168,2,2,-0.7659772668958666,2,0.919454953014738,1,1,1.0270789116578085,1,-0.4282895663715403,1,1
3,-1.2364778603818776,3,5,0.4748626714865901,3,3,-1.7645135849361147,0,2,1.0469866784197936,2,-0.3118794015104515,1,1,-0.7049259983890862,1,-0.4282895663715403,0,1
3,-0.738667542842371,1,5,-0.6625461078160424,1,1,0.024146916773074168,0,2,1.0469866784197936,0,0.12788286796283044,1,2,-0.7049259983890862,1,-0.4282895663715403,1,1
3,-1.2364778603818776,1,5,-0.726700358066518,4,0,-1.7645135849361147,2,2,-0.7659772668958666,2,-0.7516416709837335,1,1,1.0270789116578085,1,-0.4282895663715403,0,1
3,0.2569530922366421,3,1,-0.7167759436631296,3,3,0.9184771676276685,2,2,-0.7659772668958666,1,-0.6636892170890771,1,1,-0.7049259983890862,1,-0.4282895663715403,0,1
3,2.2481943623946683,1,4,1.0061732854394247,3,0,-1.7645135849361147,3,2,0.1405047057619635,3,-0.3998318554051079,0,0,-0.7049259983890862,1,-0.4282895663715403,1,1
0,-0.2408572253028645,1,1,-0.7851835143722004,3,2,0.024146916773074168,3,1,0.1405047057619635,1,-0.4877843092997643,0,1,1.0270789116578085,1,-0.4282895663715403,0,1
3,1.2525737273156552,3,4,2.0500090146529657,4,0,-0.8701833340815202,3,2,1.0469866784197936,3,-0.048022039826482336,1,0,-0.7049259983890862,3,2.3348689263480744,1,1
3,-1.2364778603818776,3,5,-0.10394335425388943,1,0,-1.7645135849361147,3,2,-0.7659772668958666,0,-0.3118794015104515,1,1,-0.7049259983890862,1,-0.4282895663715403,1,1
3,-0.738667542842371,3,7,-0.8454388875356305,4,0,0.9184771676276685,0,2,-0.7659772668958666,0,-1.279356394351672,1,1,-0.7049259983890862,1,-0.4282895663715403,0,1
2,-0.738667542842371,3,1,-0.8404766803339363,4,0,0.9184771676276685,2,2,-0.7659772668958666,0,-1.103451486562359,1,1,-0.7049259983890862,1,-0.4282895663715403,0,1
3,-0.738667542842371,1,7,-0.7199659340070759,4,2,0.9184771676276685,0,2,-0.7659772668958666,1,0.21583532185748686,1,1,1.0270789116578085,1,-0.4282895663715403,1,1
2,-0.738667542842371,1,1,-0.407346880300338,3,0,0.024146916773074168,3,2,-0.7659772668958666,1,0.3037877757521432,1,2,1.0270789116578085,3,2.3348689263480744,0,0
2,-0.4897623840726178,3,7,-0.7862468444868491,3,3,0.9184771676276685,2,2,-0.7659772668958666,1,-0.7516416709837335,1,1,-0.7049259983890862,1,-0.4282895663715403,0,0
2,-0.738667542842371,3,7,-0.5640108505252565,1,2,0.024146916773074168,2,2,-1.6724592395536968,1,-0.048022039826482336,1,1,-0.7049259983890862,1,-0.4282895663715403,0,1
3,-0.4897623840726178,1,5,0.025428476361710712,3,0,0.9184771676276685,3,2,-0.7659772668958666,3,-0.6636892170890771,1,0,-0.7049259983890862,1,-0.4282895663715403,1,1
1,-1.2364778603818776,3,5,-0.4094735405296355,3,0,-0.8701833340815202,3,2,-0.7659772668958666,1,0.479692683541456,1,1,-0.7049259983890862,1,-0.4282895663715403,1,1
2,-1.2364778603818776,3,3,-1.0379016382870576,3,3,0.9184771676276685,0,2,-1.6724592395536968,1,-0.7516416709837335,1,1,-0.7049259983890862,1,-0.4282895663715403,0,1
2,2.2481943623946683,4,2,0.4727360112572926,3,2,0.024146916773074168,3,2,1.0469866784197936,3,-1.0154990326677027,1,0,1.0270789116578085,1,2.3348689263480744,0,1
3,0.7547634097761486,1,7,0.4461527583910734,3,1,0.9184771676276685,0,2,1.0469866784197936,0,-0.8395941248783899,1,2,-0.7049259983890862,0,-0.4282895663715403,1,1
